id_casa|url|precos|enderecos_apartamentos|metragems|quartos|banheiros|garagens|tipo_imovel|bairro|preco_por_metro
1038020224|https://www.vivareal.com.br/imovel/apartamento-3-quartos-vila-seixas-bairros-ribeirao-preto-com-garagem-200m2-venda-RS770000-id-1038020224/|770000.00|Vila Seixas, Ribeirão Preto - SP|200|3|5|3|apartamento|Vila Seixas|3850.00
2215745717|https://www.vivareal.com.br/imovel/casa-2-quartos-parque-dos-servidores-bairros-ribeirao-preto-com-garagem-106m2-venda-RS280000-id-2215745717/|280000.00|Parque dos Servidores, Ribeirão Preto - SP|106|2|1|1|casa|Parque Dos Servidores|2641.51
2433953579|https://www.vivareal.com.br/imovel/apartamento-2-quartos-centro-bairros-ribeirao-preto-com-garagem-260m2-venda-RS1200000-id-2433953579/|1200000.00|Centro, Ribeirão Preto - SP|260|2|4|2|apartamento|Centro|4615.38
2435752104|https://www.vivareal.com.br/imovel/apartamento-2-quartos-reserva-sul-condominio-resort-bairros-ribeirao-preto-com-garagem-47m2-venda-RS205000-id-2435752104/|205000.00|Reserva Sul Condomínio Resort, Ribeirão Preto - SP|47|2|1|1|apartamento|Reserva Sul Condomínio Resort|4361.70
2435752945|https://www.vivareal.com.br/imovel/apartamento-2-quartos-ribeirania-bairros-ribeirao-preto-com-garagem-48m2-venda-RS180000-id-2435752945/|180000.00|Ribeirânia, Ribeirão Preto - SP|48|2|1|1|apartamento|Ribeirânia|3750.00
2435754413|https://www.vivareal.com.br/imovel/apartamento-3-quartos-jardim-sumare-bairros-ribeirao-preto-com-garagem-116m2-venda-RS420000-id-2435754413/|420000.00|Jardim Sumare, Ribeirão Preto - SP|116|3|3|1|apartamento|Jardim Sumare|3620.69
2435754896|https://www.vivareal.com.br/imovel/apartamento-2-quartos-lagoinha-bairros-ribeirao-preto-com-garagem-94m2-venda-RS280000-id-2435754896/|280000.00|Lagoinha, Ribeirão Preto - SP|94|2|2|1|apartamento|Lagoinha|2978.72
2435756042|https://www.vivareal.com.br/imovel/apartamento-2-quartos-sumarezinho-bairros-ribeirao-preto-com-garagem-48m2-venda-RS223000-id-2435756042/|223000.00|Sumarezinho, Ribeirão Preto - SP|48|2|1|1|apartamento|Sumarezinho|4645.83
2435756497|https://www.vivareal.com.br/imovel/apartamento-2-quartos-residencial-das-americas-bairros-ribeirao-preto-com-garagem-47m2-venda-RS138000-id-2435756497/|138000.00|Residencial das Americas, Ribeirão Preto - SP|47|2|1|1|apartamento|Residencial Das Americas|2936.17
2435756781|https://www.vivareal.com.br/imovel/apartamento-3-quartos-jardim-republica-bairros-ribeirao-preto-com-garagem-82m2-venda-RS350000-id-2435756781/|350000.00|Jardim Republica, Ribeirão Preto - SP|82|3|1|2|apartamento|Jardim Republica|4268.29
